project_id,ml_anomaly_risk,ml_prediction,ml_decision_score
135812.0,6.5,NORMAL,0.1759
135813.0,36.0,NORMAL,0.0346
135814.0,36.0,NORMAL,0.0346
135815.0,31.7,NORMAL,0.0554
135816.0,36.0,NORMAL,0.0346
135817.0,35.8,NORMAL,0.0357
135818.0,28.6,NORMAL,0.0703
135819.0,35.8,NORMAL,0.0357
135824.0,35.8,NORMAL,0.0357
135827.0,28.4,NORMAL,0.0712
135830.0,35.8,NORMAL,0.0357
135836.0,36.0,NORMAL,0.0346
135840.0,36.0,NORMAL,0.0346
135852.0,17.1,NORMAL,0.1252
135858.0,36.0,NORMAL,0.0346
135859.0,36.9,NORMAL,0.0305
135861.0,36.9,NORMAL,0.0305
135862.0,63.8,ANOMALY,-0.0988
135868.0,1.8,NORMAL,0.1988
135874.0,31.2,NORMAL,0.0577
135876.0,24.6,NORMAL,0.0895
135877.0,26.9,NORMAL,0.0782
135878.0,29.9,NORMAL,0.064
135879.0,31.2,NORMAL,0.0577
135880.0,26.9,NORMAL,0.0782
135881.0,29.9,NORMAL,0.064
135882.0,28.2,NORMAL,0.0722
135898.0,21.9,NORMAL,0.1022
135899.0,24.8,NORMAL,0.0882
135901.0,27.9,NORMAL,0.0737
135902.0,25.9,NORMAL,0.0831
135903.0,28.8,NORMAL,0.0691
135904.0,28.2,NORMAL,0.0722
135905.0,24.9,NORMAL,0.0879
135907.0,28.1,NORMAL,0.0723
135908.0,5.5,NORMAL,0.1809
135909.0,5.5,NORMAL,0.1809
135911.0,5.5,NORMAL,0.1809
135912.0,5.5,NORMAL,0.1809
135914.0,5.5,NORMAL,0.1809
135915.0,5.5,NORMAL,0.1809
135916.0,5.5,NORMAL,0.1809
135917.0,5.5,NORMAL,0.1809
135918.0,28.0,NORMAL,0.0728
135919.0,29.1,NORMAL,0.0678
135921.0,24.1,NORMAL,0.0916
135923.0,28.3,NORMAL,0.0716
135924.0,31.1,NORMAL,0.0581
135925.0,10.8,NORMAL,0.1554
135927.0,42.9,NORMAL,0.0018
135928.0,40.5,NORMAL,0.0129
135929.0,38.5,NORMAL,0.0228
135932.0,28.6,NORMAL,0.0703
135975.0,17.9,NORMAL,0.1212
135976.0,9.1,NORMAL,0.1635
135978.0,23.9,NORMAL,0.0929
135979.0,8.6,NORMAL,0.1659
135980.0,9.1,NORMAL,0.1639
135993.0,47.6,ANOMALY,-0.021
135994.0,47.7,ANOMALY,-0.0212
135995.0,47.7,ANOMALY,-0.0212
135996.0,47.7,ANOMALY,-0.0212
135997.0,47.7,ANOMALY,-0.0212
135998.0,47.7,ANOMALY,-0.0212
135999.0,47.7,ANOMALY,-0.0212
136000.0,47.6,ANOMALY,-0.021
136001.0,47.7,ANOMALY,-0.0212
136002.0,47.6,ANOMALY,-0.021
136003.0,47.6,ANOMALY,-0.021
136004.0,47.6,ANOMALY,-0.021
136005.0,47.6,ANOMALY,-0.021
136006.0,47.6,ANOMALY,-0.021
136007.0,47.6,ANOMALY,-0.021
136008.0,47.6,ANOMALY,-0.021
136009.0,47.6,ANOMALY,-0.021
136010.0,47.6,ANOMALY,-0.021
136011.0,47.6,ANOMALY,-0.021
136017.0,23.5,NORMAL,0.0947
136018.0,23.5,NORMAL,0.0947
136019.0,23.5,NORMAL,0.0947
136020.0,5.0,NORMAL,0.1833
136021.0,23.0,NORMAL,0.0968
136022.0,23.5,NORMAL,0.0947
136023.0,23.5,NORMAL,0.0947
136024.0,23.5,NORMAL,0.0947
136025.0,23.5,NORMAL,0.0947
136026.0,23.5,NORMAL,0.0947
