project_id,cost_deviation,cost_deviation_pct,expenditure_ratio,rec_san_ratio,sanction_delay_days,completion_duration_days,project_age_days,spending_velocity,velocity_ratio,payment_frequency,payment_concentration,vendor_constituency_count,category_cost_ratio,expenditure_spread_days
176465.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176466.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176468.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176469.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176470.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176471.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176472.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176473.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176474.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176475.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176476.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176477.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176478.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176479.0,-0.0015846153846153846,-0.15846153846153846,0.9984153846153846,1.0,62.0,,497.0,2611.549295774648,3.2383373184471553,1.0,1.0,1,3.4210526315789473,0.0
176480.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176481.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176482.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176483.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176484.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176485.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176486.0,0.0,0.0,1.0,1.0,30.0,299.0,529.0,332.92627599243855,0.5904446953985726,2.0,0.7550619471036464,99,0.4634684210526316,120.0
176487.0,0.0,0.0,1.0,1.0,30.0,299.0,529.0,330.9187145557656,0.586884285522732,2.0,0.759642628644548,99,0.4606736842105263,120.0
176488.0,0.0,0.0,1.0,1.0,30.0,299.0,529.0,330.875236294896,0.5868071768342722,2.0,0.7597424485668417,86,0.46061315789473684,70.0
176489.0,0.0,0.0,1.0,1.0,30.0,299.0,529.0,331.9130434782609,0.5886477277022915,2.0,0.7573669282728298,99,0.4620578947368421,120.0
176490.0,0.0,0.0,1.0,1.0,30.0,299.0,529.0,330.92249527410206,0.5868909906260763,2.0,0.7596339498908933,99,0.4606789473684211,120.0
176491.0,0.0,0.0,1.0,1.0,30.0,299.0,529.0,329.9054820415879,0.585087317826451,2.0,0.7619757047902819,99,0.4592631578947368,120.0
176492.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,329.9054820415879,0.585087317826451,2.0,0.7619757047902819,99,0.4592631578947368,120.0
176493.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,328.89035916824196,0.5832869975784977,2.0,0.7643275492433169,86,0.45785,70.0
176494.0,0.0,0.0,1.0,1.0,30.0,299.0,529.0,328.8449905482042,0.5832065363383657,2.0,0.7644329985801253,86,0.45778684210526316,70.0
176495.0,0.0,0.0,1.0,1.0,30.0,299.0,529.0,331.9338374291115,0.5886846057706853,2.0,0.7573194831229035,99,0.4620868421052632,120.0
176496.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176497.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176498.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176499.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176500.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176501.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176502.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176503.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176504.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176505.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176506.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176507.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176508.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176509.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176510.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176511.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,332.937618147448,0.5904648107086056,2.0,0.7550362244782085,86,0.4634842105263158,70.0
176512.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,331.945179584121,0.5887047210807184,2.0,0.7572936064556176,86,0.4621026315789474,70.0
176513.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,331.95085066162574,0.5887147787357349,2.0,0.7572806687850936,86,0.46211052631578947,70.0
176514.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,329.9054820415879,0.585087317826451,2.0,0.7619757047902819,86,0.4592631578947368,70.0
176515.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,331.9678638941399,0.5887449517007843,2.0,0.757241858425725,86,0.4621342105263158,70.0
176516.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,330.93005671077503,0.5869044008327651,2.0,0.7596165929784876,86,0.46068947368421054,70.0
176517.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176518.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176519.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176520.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176521.0,,,,1.0,,,,,,0.0,,0,0.5921052631578947,
176522.0,,,,1.0,386.0,,173.0,,,0.0,,0,0.5921052631578947,
176523.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,333.92060491493385,0.5922081375781321,2.0,0.7528135685333213,99,0.46485263157894735,120.0
176524.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,328.89035916824196,0.5832869975784977,2.0,0.7643275492433169,99,0.45785,120.0
176525.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,332.94896030245746,0.5904849260186386,2.0,0.7550105036052915,99,0.4635,120.0
176526.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,330.89792060491493,0.5868474074543382,2.0,0.7596903653346282,99,0.4606447368421053,120.0
176527.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,331.9338374291115,0.5886846057706853,2.0,0.7573194831229035,99,0.4620868421052632,120.0
176528.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,331.9281663516068,0.5886745481156689,2.0,0.7573324221197106,86,0.46207894736842103,70.0
176529.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,329.86011342155007,0.5850068565863189,2.0,0.7620805061434073,86,0.4592,70.0
176530.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,332.94896030245746,0.5904849260186386,2.0,0.7550105036052915,86,0.4635,70.0
176531.0,-0.005,-0.5,0.995,1.0,175.0,,375.0,2653.3333333333335,2.8504380952380957,2.0,0.5025125628140703,1,2.6315789473684212,170.0
176534.0,0.0,0.0,1.0,1.0,362.0,8.0,197.0,4170.375634517766,4.3334473867748535,1.0,1.0,1,2.1620105263157896,0.0
176535.0,,,,1.0,,,,,,0.0,,0,6.578947368421052,
176536.0,-0.001484,-0.1484,0.998516,1.0,230.0,,320.0,3120.3625,3.352160857142857,3.0,0.5007431027645025,2,2.6315789473684212,301.0
176537.0,-0.25,-25.0,0.75,1.0,225.0,,333.0,3378.3783783783783,2.6013513513513513,1.0,1.0,66,3.9473684210526314,0.0
176538.0,,,,1.0,264.0,,286.0,,,0.0,,0,2.6315789473684212,
176539.0,0.0,0.0,1.0,1.0,225.0,,333.0,4504.504504504504,3.468468468468468,2.0,0.75,66,3.9473684210526314,279.0
176540.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,330.89792060491493,0.5868474074543382,2.0,0.7596903653346282,99,0.4606447368421053,120.0
176541.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,329.8771266540643,0.5850370295513685,2.0,0.7620412022578149,99,0.45922368421052634,120.0
176542.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,331.9338374291115,0.5886846057706853,2.0,0.7573194831229035,99,0.4620868421052632,120.0
176543.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,329.9054820415879,0.585087317826451,2.0,0.7619757047902819,99,0.4592631578947368,120.0
176544.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,332.94896030245746,0.5904849260186386,2.0,0.7550105036052915,99,0.4635,120.0
176545.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,331.9130434782609,0.5886477277022915,2.0,0.7573669282728298,86,0.4620578947368421,70.0
176546.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,330.875236294896,0.5868071768342722,2.0,0.7597424485668417,86,0.46061315789473684,70.0
176547.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,332.1001890359168,0.588979630317836,2.0,0.7569401358143453,86,0.4623184210526316,70.0
176549.0,-0.25,-25.0,0.75,1.0,82.0,,476.0,787.8151260504202,0.6066176470588235,1.0,1.0,66,1.3157894736842106,0.0
176550.0,,,,1.0,417.0,,133.0,,,0.0,,0,1.3157894736842106,
176551.0,-0.5,-50.0,0.5,1.0,265.0,,285.0,1228.0701754385964,1.319298245614035,1.0,1.0,1,1.8421052631578947,0.0
176552.0,0.0,0.0,1.0,1.0,95.0,,463.0,1079.913606911447,0.8315334773218142,2.0,0.75,66,1.3157894736842106,417.0
176553.0,0.0,0.0,1.0,1.0,85.0,,473.0,5285.412262156448,4.069767441860465,2.0,0.75,66,6.578947368421052,318.0
176554.0,-0.25,-25.0,0.75,1.0,82.0,,476.0,787.8151260504202,0.6066176470588235,1.0,1.0,66,1.3157894736842106,0.0
176556.0,0.0,0.0,1.0,1.0,82.0,343.0,476.0,2521.0084033613443,1.941176470588235,2.0,0.75,66,3.1578947368421053,142.0
176557.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,328.86767485822304,0.5832467669584317,2.0,0.7643802702749308,86,0.4578184210526316,70.0
176558.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,332.79962192816635,0.5902200744365375,2.0,0.7553493021908424,86,0.4632921052631579,70.0
176559.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,331.945179584121,0.5887047210807184,2.0,0.7572936064556176,86,0.4621026315789474,70.0
176560.0,0.0,0.0,1.0,1.0,30.0,306.0,529.0,329.9149338374291,0.5851040805848118,2.0,0.7619538748030368,86,0.4592763157894737,70.0
